Series ID,Year,Period,Label,Value
PCU481112481112,2003,M12,2003 Dec,100.0
PCU481112481112,2004,M01,2004 Jan,101.5
PCU481112481112,2004,M02,2004 Feb,100.5
PCU481112481112,2004,M03,2004 Mar,97.6
PCU481112481112,2004,M04,2004 Apr,97.5
PCU481112481112,2004,M05,2004 May,97.5
PCU481112481112,2004,M06,2004 Jun,98.4
PCU481112481112,2004,M07,2004 Jul,101.8
PCU481112481112,2004,M08,2004 Aug,101.8
PCU481112481112,2004,M09,2004 Sep,101.8
PCU481112481112,2004,M10,2004 Oct,100.8
PCU481112481112,2004,M11,2004 Nov,100.8
PCU481112481112,2004,M12,2004 Dec,102.3
PCU481112481112,2005,M01,2005 Jan,101.7
PCU481112481112,2005,M02,2005 Feb,101.7
PCU481112481112,2005,M03,2005 Mar,102.2
PCU481112481112,2005,M04,2005 Apr,103.0
PCU481112481112,2005,M05,2005 May,103.6
PCU481112481112,2005,M06,2005 Jun,104.2
PCU481112481112,2005,M07,2005 Jul,105.3
PCU481112481112,2005,M08,2005 Aug,105.8
PCU481112481112,2005,M09,2005 Sep,106.9
PCU481112481112,2005,M10,2005 Oct,108.4
PCU481112481112,2005,M11,2005 Nov,108.5
PCU481112481112,2005,M12,2005 Dec,107.9
PCU481112481112,2006,M01,2006 Jan,107.8
PCU481112481112,2006,M02,2006 Feb,108.6
PCU481112481112,2006,M03,2006 Mar,110.8
PCU481112481112,2006,M04,2006 Apr,106.9
PCU481112481112,2006,M05,2006 May,109.1
PCU481112481112,2006,M06,2006 Jun,110.1
PCU481112481112,2006,M07,2006 Jul,111.3
PCU481112481112,2006,M08,2006 Aug,107.8
PCU481112481112,2006,M09,2006 Sep,107.9
PCU481112481112,2006,M10,2006 Oct,107.3
PCU481112481112,2006,M11,2006 Nov,106.7
PCU481112481112,2006,M12,2006 Dec,106.7
PCU481112481112,2007,M01,2007 Jan,106.9
PCU481112481112,2007,M02,2007 Feb,106.0
PCU481112481112,2007,M03,2007 Mar,106.0
PCU481112481112,2007,M04,2007 Apr,106.2
PCU481112481112,2007,M05,2007 May,109.4
PCU481112481112,2007,M06,2007 Jun,109.4
PCU481112481112,2007,M07,2007 Jul,109.4
PCU481112481112,2007,M08,2007 Aug,109.4
PCU481112481112,2007,M09,2007 Sep,109.6
PCU481112481112,2007,M10,2007 Oct,111.2
PCU481112481112,2007,M11,2007 Nov,109.5
PCU481112481112,2007,M12,2007 Dec,115.4
PCU481112481112,2008,M01,2008 Jan,116.3
PCU481112481112,2008,M02,2008 Feb,116.4
PCU481112481112,2008,M03,2008 Mar,119.3
PCU481112481112,2008,M04,2008 Apr,126.8
PCU481112481112,2008,M05,2008 May,129.1
PCU481112481112,2008,M06,2008 Jun,132.6
PCU481112481112,2008,M07,2008 Jul,132.7
PCU481112481112,2008,M08,2008 Aug,136.2
PCU481112481112,2008,M09,2008 Sep,133.6
PCU481112481112,2008,M10,2008 Oct,131.3
PCU481112481112,2008,M11,2008 Nov,129.5
PCU481112481112,2008,M12,2008 Dec,129.6
PCU481112481112,2009,M01,2009 Jan,127.6
PCU481112481112,2009,M02,2009 Feb,123.6
PCU481112481112,2009,M03,2009 Mar,119.0
PCU481112481112,2009,M04,2009 Apr,117.7
PCU481112481112,2009,M05,2009 May,118.6
PCU481112481112,2009,M06,2009 Jun,116.0
PCU481112481112,2009,M07,2009 Jul,116.4
PCU481112481112,2009,M08,2009 Aug,116.5
PCU481112481112,2009,M09,2009 Sep,116.7
PCU481112481112,2009,M10,2009 Oct,116.7
PCU481112481112,2009,M11,2009 Nov,120.2
PCU481112481112,2009,M12,2009 Dec,120.3
PCU481112481112,2010,M01,2010 Jan,125.7
PCU481112481112,2010,M02,2010 Feb,129.5
PCU481112481112,2010,M03,2010 Mar,129.4
PCU481112481112,2010,M04,2010 Apr,129.5
PCU481112481112,2010,M05,2010 May,129.9
PCU481112481112,2010,M06,2010 Jun,129.9
