Series ID,Year,Period,Label,Value
PCU4841214841212,2000,M01,2000 Jan,106.1
PCU4841214841212,2000,M02,2000 Feb,106.4
PCU4841214841212,2000,M03,2000 Mar,107.0
PCU4841214841212,2000,M04,2000 Apr,107.5
PCU4841214841212,2000,M05,2000 May,107.9
PCU4841214841212,2000,M06,2000 Jun,108.0
PCU4841214841212,2000,M07,2000 Jul,108.1
PCU4841214841212,2000,M08,2000 Aug,108.4
PCU4841214841212,2000,M09,2000 Sep,109.2
PCU4841214841212,2000,M10,2000 Oct,109.5
PCU4841214841212,2000,M11,2000 Nov,109.8
PCU4841214841212,2000,M12,2000 Dec,109.8
PCU4841214841212,2001,M01,2001 Jan,110.0
PCU4841214841212,2001,M02,2001 Feb,109.6
PCU4841214841212,2001,M03,2001 Mar,109.4
PCU4841214841212,2001,M04,2001 Apr,109.7
PCU4841214841212,2001,M05,2001 May,109.9
PCU4841214841212,2001,M06,2001 Jun,109.9
PCU4841214841212,2001,M07,2001 Jul,110.3
PCU4841214841212,2001,M08,2001 Aug,110.2
PCU4841214841212,2001,M09,2001 Sep,110.4
PCU4841214841212,2001,M10,2001 Oct,110.0
PCU4841214841212,2001,M11,2001 Nov,109.7
PCU4841214841212,2001,M12,2001 Dec,109.3
PCU4841214841212,2002,M01,2002 Jan,108.9
PCU4841214841212,2002,M02,2002 Feb,108.8
PCU4841214841212,2002,M03,2002 Mar,108.7
PCU4841214841212,2002,M04,2002 Apr,109.3
PCU4841214841212,2002,M05,2002 May,109.3
PCU4841214841212,2002,M06,2002 Jun,109.5
PCU4841214841212,2002,M07,2002 Jul,109.5
PCU4841214841212,2002,M08,2002 Aug,109.8
PCU4841214841212,2002,M09,2002 Sep,109.9
PCU4841214841212,2002,M10,2002 Oct,110.2
PCU4841214841212,2002,M11,2002 Nov,110.4
PCU4841214841212,2002,M12,2002 Dec,110.3
PCU4841214841212,2003,M01,2003 Jan,110.4
PCU4841214841212,2003,M02,2003 Feb,110.8
PCU4841214841212,2003,M03,2003 Mar,111.4
PCU4841214841212,2003,M04,2003 Apr,111.6
PCU4841214841212,2003,M05,2003 May,111.8
PCU4841214841212,2003,M06,2003 Jun,111.4
PCU4841214841212,2003,M07,2003 Jul,112.4
PCU4841214841212,2003,M08,2003 Aug,112.8
PCU4841214841212,2003,M09,2003 Sep,113.0
PCU4841214841212,2003,M10,2003 Oct,113.3
PCU4841214841212,2003,M11,2003 Nov,113.4
PCU4841214841212,2003,M12,2003 Dec,113.9
PCU4841214841212,2004,M01,2004 Jan,114.2
PCU4841214841212,2004,M02,2004 Feb,115.1
PCU4841214841212,2004,M03,2004 Mar,115.2
PCU4841214841212,2004,M04,2004 Apr,115.6
PCU4841214841212,2004,M05,2004 May,116.0
PCU4841214841212,2004,M06,2004 Jun,116.7
PCU4841214841212,2004,M07,2004 Jul,116.7
PCU4841214841212,2004,M08,2004 Aug,117.3
PCU4841214841212,2004,M09,2004 Sep,118.3
PCU4841214841212,2004,M10,2004 Oct,119.2
PCU4841214841212,2004,M11,2004 Nov,120.0
PCU4841214841212,2004,M12,2004 Dec,119.4
PCU4841214841212,2005,M01,2005 Jan,120.1
PCU4841214841212,2005,M02,2005 Feb,120.9
PCU4841214841212,2005,M03,2005 Mar,121.7
PCU4841214841212,2005,M04,2005 Apr,122.5
PCU4841214841212,2005,M05,2005 May,123.3
PCU4841214841212,2005,M06,2005 Jun,123.3
PCU4841214841212,2005,M07,2005 Jul,123.3
PCU4841214841212,2005,M08,2005 Aug,123.6
PCU4841214841212,2005,M09,2005 Sep,125.2
PCU4841214841212,2005,M10,2005 Oct,126.7
PCU4841214841212,2005,M11,2005 Nov,127.3
PCU4841214841212,2005,M12,2005 Dec,126.4
PCU4841214841212,2006,M01,2006 Jan,125.6
PCU4841214841212,2006,M02,2006 Feb,125.6
PCU4841214841212,2006,M03,2006 Mar,125.7
PCU4841214841212,2006,M04,2006 Apr,126.1
PCU4841214841212,2006,M05,2006 May,127.6
PCU4841214841212,2006,M06,2006 Jun,128.0
PCU4841214841212,2006,M07,2006 Jul,128.1
PCU4841214841212,2006,M08,2006 Aug,128.8
PCU4841214841212,2006,M09,2006 Sep,129.1
PCU4841214841212,2006,M10,2006 Oct,128.6
PCU4841214841212,2006,M11,2006 Nov,128.0
PCU4841214841212,2006,M12,2006 Dec,127.8
PCU4841214841212,2007,M01,2007 Jan,128.5
PCU4841214841212,2007,M02,2007 Feb,128.0
PCU4841214841212,2007,M03,2007 Mar,127.7
PCU4841214841212,2007,M04,2007 Apr,128.3
PCU4841214841212,2007,M05,2007 May,128.5
PCU4841214841212,2007,M06,2007 Jun,128.2
PCU4841214841212,2007,M07,2007 Jul,128.3
PCU4841214841212,2007,M08,2007 Aug,128.7
PCU4841214841212,2007,M09,2007 Sep,129.0
PCU4841214841212,2007,M10,2007 Oct,129.3
PCU4841214841212,2007,M11,2007 Nov,130.4
PCU4841214841212,2007,M12,2007 Dec,131.3
PCU4841214841212,2008,M01,2008 Jan,131.4
PCU4841214841212,2008,M02,2008 Feb,131.3
PCU4841214841212,2008,M03,2008 Mar,132.0
PCU4841214841212,2008,M04,2008 Apr,133.3
PCU4841214841212,2008,M05,2008 May,136.4
PCU4841214841212,2008,M06,2008 Jun,139.0
PCU4841214841212,2008,M07,2008 Jul,139.9
PCU4841214841212,2008,M08,2008 Aug,140.2
PCU4841214841212,2008,M09,2008 Sep,137.6
PCU4841214841212,2008,M10,2008 Oct,137.4
PCU4841214841212,2008,M11,2008 Nov,133.8
PCU4841214841212,2008,M12,2008 Dec,130.4
PCU4841214841212,2009,M01,2009 Jan,128.3
PCU4841214841212,2009,M02,2009 Feb,127.1
PCU4841214841212,2009,M03,2009 Mar,125.1
PCU4841214841212,2009,M04,2009 Apr,124.2
PCU4841214841212,2009,M05,2009 May,124.2
PCU4841214841212,2009,M06,2009 Jun,124.6
PCU4841214841212,2009,M07,2009 Jul,126.1
PCU4841214841212,2009,M08,2009 Aug,125.6
PCU4841214841212,2009,M09,2009 Sep,126.4
PCU4841214841212,2009,M10,2009 Oct,125.4
PCU4841214841212,2009,M11,2009 Nov,126.1
PCU4841214841212,2009,M12,2009 Dec,125.5
PCU4841214841212,2010,M01,2010 Jan,125.3
PCU4841214841212,2010,M02,2010 Feb,125.6
PCU4841214841212,2010,M03,2010 Mar,126.7
PCU4841214841212,2010,M04,2010 Apr,127.0
PCU4841214841212,2010,M05,2010 May,128.1
PCU4841214841212,2010,M06,2010 Jun,128.6
PCU4841214841212,2010,M07,2010 Jul,128.3
PCU4841214841212,2010,M08,2010 Aug,128.7
PCU4841214841212,2010,M09,2010 Sep,128.8
PCU4841214841212,2010,M10,2010 Oct,129.4
PCU4841214841212,2010,M11,2010 Nov,131.0
PCU4841214841212,2010,M12,2010 Dec,131.5
PCU4841214841212,2011,M01,2011 Jan,132.0
PCU4841214841212,2011,M02,2011 Feb,133.0
PCU4841214841212,2011,M03,2011 Mar,135.1
PCU4841214841212,2011,M04,2011 Apr,137.1
PCU4841214841212,2011,M05,2011 May,137.9
PCU4841214841212,2011,M06,2011 Jun,137.6
PCU4841214841212,2011,M07,2011 Jul,137.4
PCU4841214841212,2011,M08,2011 Aug,137.3
PCU4841214841212,2011,M09,2011 Sep,138.2
PCU4841214841212,2011,M10,2011 Oct,138.2
PCU4841214841212,2011,M11,2011 Nov,139.7
PCU4841214841212,2011,M12,2011 Dec,139.7
PCU4841214841212,2012,M01,2012 Jan,140.7
PCU4841214841212,2012,M02,2012 Feb,141.5
PCU4841214841212,2012,M03,2012 Mar,143.4
PCU4841214841212,2012,M04,2012 Apr,143.9
PCU4841214841212,2012,M05,2012 May,144.4
PCU4841214841212,2012,M06,2012 Jun,142.9
PCU4841214841212,2012,M07,2012 Jul,142.1
PCU4841214841212,2012,M08,2012 Aug,143.8
PCU4841214841212,2012,M09,2012 Sep,144.3
PCU4841214841212,2012,M10,2012 Oct,143.9
PCU4841214841212,2012,M11,2012 Nov,143.4
PCU4841214841212,2012,M12,2012 Dec,143.6
PCU4841214841212,2013,M01,2013 Jan,143.3
PCU4841214841212,2013,M02,2013 Feb,143.5
PCU4841214841212,2013,M03,2013 Mar,144.5
PCU4841214841212,2013,M04,2013 Apr,144.0
PCU4841214841212,2013,M05,2013 May,144.4
PCU4841214841212,2013,M06,2013 Jun,144.1
PCU4841214841212,2013,M07,2013 Jul,144.1
PCU4841214841212,2013,M08,2013 Aug,144.1
PCU4841214841212,2013,M09,2013 Sep,143.4
PCU4841214841212,2013,M10,2013 Oct,143.4
PCU4841214841212,2013,M11,2013 Nov,144.0
PCU4841214841212,2013,M12,2013 Dec,143.8
PCU4841214841212,2014,M01,2014 Jan,144.4
PCU4841214841212,2014,M02,2014 Feb,145.2
