Series ID,Year,Period,Label,Value
PCU334413334413A,2000,M01,2000 Jan,89.9
PCU334413334413A,2000,M02,2000 Feb,89.8
PCU334413334413A,2000,M03,2000 Mar,90.2
PCU334413334413A,2000,M04,2000 Apr,89.6
PCU334413334413A,2000,M05,2000 May,89.7
PCU334413334413A,2000,M06,2000 Jun,89.8
PCU334413334413A,2000,M07,2000 Jul,89.9
PCU334413334413A,2000,M08,2000 Aug,90.5
PCU334413334413A,2000,M09,2000 Sep,90.2
PCU334413334413A,2000,M10,2000 Oct,90.2
PCU334413334413A,2000,M11,2000 Nov,90.0
PCU334413334413A,2000,M12,2000 Dec,90.0
PCU334413334413A,2001,M01,2001 Jan,90.5
PCU334413334413A,2001,M02,2001 Feb,90.7
PCU334413334413A,2001,M03,2001 Mar,90.7
PCU334413334413A,2001,M04,2001 Apr,90.3
PCU334413334413A,2001,M05,2001 May,90.2
PCU334413334413A,2001,M06,2001 Jun,89.8
PCU334413334413A,2001,M07,2001 Jul,89.6
PCU334413334413A,2001,M08,2001 Aug,88.3
PCU334413334413A,2001,M09,2001 Sep,88.0
PCU334413334413A,2001,M10,2001 Oct,87.8
PCU334413334413A,2001,M11,2001 Nov,87.5
PCU334413334413A,2001,M12,2001 Dec,87.1
PCU334413334413A,2002,M01,2002 Jan,86.3
PCU334413334413A,2002,M02,2002 Feb,85.8
PCU334413334413A,2002,M03,2002 Mar,85.4
PCU334413334413A,2002,M04,2002 Apr,84.4
PCU334413334413A,2002,M05,2002 May,84.1
PCU334413334413A,2002,M06,2002 Jun,84.2
PCU334413334413A,2002,M07,2002 Jul,84.2
PCU334413334413A,2002,M08,2002 Aug,84.1
PCU334413334413A,2002,M09,2002 Sep,84.3
PCU334413334413A,2002,M10,2002 Oct,84.1
PCU334413334413A,2002,M11,2002 Nov,83.3
PCU334413334413A,2002,M12,2002 Dec,82.8
PCU334413334413A,2003,M01,2003 Jan,82.2
PCU334413334413A,2003,M02,2003 Feb,82.0
PCU334413334413A,2003,M03,2003 Mar,81.1
PCU334413334413A,2003,M04,2003 Apr,81.0
PCU334413334413A,2003,M05,2003 May,81.0
PCU334413334413A,2003,M06,2003 Jun,80.6
PCU334413334413A,2003,M07,2003 Jul,79.9
PCU334413334413A,2003,M08,2003 Aug,79.8
PCU334413334413A,2003,M09,2003 Sep,80.3
PCU334413334413A,2003,M10,2003 Oct,80.2
PCU334413334413A,2003,M11,2003 Nov,79.7
PCU334413334413A,2003,M12,2003 Dec,79.4
PCU334413334413A,2004,M01,2004 Jan,78.4
PCU334413334413A,2004,M02,2004 Feb,78.3
PCU334413334413A,2004,M03,2004 Mar,78.3
PCU334413334413A,2004,M04,2004 Apr,77.6
PCU334413334413A,2004,M05,2004 May,78.1
PCU334413334413A,2004,M06,2004 Jun,77.9
PCU334413334413A,2004,M07,2004 Jul,78.3
PCU334413334413A,2004,M08,2004 Aug,78.4
PCU334413334413A,2004,M09,2004 Sep,78.1
PCU334413334413A,2004,M10,2004 Oct,78.4
PCU334413334413A,2004,M11,2004 Nov,78.5
PCU334413334413A,2004,M12,2004 Dec,78.3
PCU334413334413A,2005,M01,2005 Jan,76.2
PCU334413334413A,2005,M02,2005 Feb,76.0
PCU334413334413A,2005,M03,2005 Mar,76.0
PCU334413334413A,2005,M04,2005 Apr,76.0
PCU334413334413A,2005,M05,2005 May,75.9
