Series ID,Year,Period,Label,Value
PCU33611-33611-,2003,M12,2003 Dec,100.0
PCU33611-33611-,2004,M01,2004 Jan,99.8
PCU33611-33611-,2004,M02,2004 Feb,99.4
PCU33611-33611-,2004,M03,2004 Mar,99.7
PCU33611-33611-,2004,M04,2004 Apr,98.8
PCU33611-33611-,2004,M05,2004 May,99.0
PCU33611-33611-,2004,M06,2004 Jun,99.0
PCU33611-33611-,2004,M07,2004 Jul,96.5
PCU33611-33611-,2004,M08,2004 Aug,96.2
PCU33611-33611-,2004,M09,2004 Sep,95.6
PCU33611-33611-,2004,M10,2004 Oct,103.2
PCU33611-33611-,2004,M11,2004 Nov,101.7
PCU33611-33611-,2004,M12,2004 Dec,101.4
PCU33611-33611-,2005,M01,2005 Jan,101.7
PCU33611-33611-,2005,M02,2005 Feb,99.9
PCU33611-33611-,2005,M03,2005 Mar,99.4
PCU33611-33611-,2005,M04,2005 Apr,99.2
PCU33611-33611-,2005,M05,2005 May,98.7
PCU33611-33611-,2005,M06,2005 Jun,96.4
PCU33611-33611-,2005,M07,2005 Jul,96.5
PCU33611-33611-,2005,M08,2005 Aug,95.8
PCU33611-33611-,2005,M09,2005 Sep,95.9
PCU33611-33611-,2005,M10,2005 Oct,100.2
PCU33611-33611-,2005,M11,2005 Nov,98.0
PCU33611-33611-,2005,M12,2005 Dec,96.6
PCU33611-33611-,2006,M01,2006 Jan,97.2
PCU33611-33611-,2006,M02,2006 Feb,97.2
PCU33611-33611-,2006,M03,2006 Mar,97.0
PCU33611-33611-,2006,M04,2006 Apr,96.1
PCU33611-33611-,2006,M05,2006 May,95.9
PCU33611-33611-,2006,M06,2006 Jun,94.9
PCU33611-33611-,2006,M07,2006 Jul,89.9
PCU33611-33611-,2006,M08,2006 Aug,91.4
PCU33611-33611-,2006,M09,2006 Sep,91.9
PCU33611-33611-,2006,M10,2006 Oct,94.1
PCU33611-33611-,2006,M11,2006 Nov,98.2
PCU33611-33611-,2006,M12,2006 Dec,97.3
PCU33611-33611-,2007,M01,2007 Jan,96.5
PCU33611-33611-,2007,M02,2007 Feb,96.3
PCU33611-33611-,2007,M03,2007 Mar,95.9
PCU33611-33611-,2007,M04,2007 Apr,94.9
PCU33611-33611-,2007,M05,2007 May,94.6
PCU33611-33611-,2007,M06,2007 Jun,94.4
PCU33611-33611-,2007,M07,2007 Jul,93.9
PCU33611-33611-,2007,M08,2007 Aug,93.2
PCU33611-33611-,2007,M09,2007 Sep,92.0
PCU33611-33611-,2007,M10,2007 Oct,97.5
PCU33611-33611-,2007,M11,2007 Nov,97.9
PCU33611-33611-,2007,M12,2007 Dec,96.5
PCU33611-33611-,2008,M01,2008 Jan,97.1
PCU33611-33611-,2008,M02,2008 Feb,97.0
PCU33611-33611-,2008,M03,2008 Mar,96.0
PCU33611-33611-,2008,M04,2008 Apr,96.7
PCU33611-33611-,2008,M05,2008 May,96.1
PCU33611-33611-,2008,M06,2008 Jun,94.1
PCU33611-33611-,2008,M07,2008 Jul,93.1
PCU33611-33611-,2008,M08,2008 Aug,93.8
PCU33611-33611-,2008,M09,2008 Sep,93.5
PCU33611-33611-,2008,M10,2008 Oct,101.3
PCU33611-33611-,2008,M11,2008 Nov,100.1
PCU33611-33611-,2008,M12,2008 Dec,100.0
PCU33611-33611-,2009,M01,2009 Jan,99.6
PCU33611-33611-,2009,M02,2009 Feb,99.4
PCU33611-33611-,2009,M03,2009 Mar,98.8
PCU33611-33611-,2009,M04,2009 Apr,99.3
PCU33611-33611-,2009,M05,2009 May,98.9
PCU33611-33611-,2009,M06,2009 Jun,100.2
PCU33611-33611-,2009,M07,2009 Jul,97.8
PCU33611-33611-,2009,M08,2009 Aug,98.9
PCU33611-33611-,2009,M09,2009 Sep,97.2
PCU33611-33611-,2009,M10,2009 Oct,100.5
PCU33611-33611-,2009,M11,2009 Nov,101.4
PCU33611-33611-,2009,M12,2009 Dec,100.4
PCU33611-33611-,2010,M01,2010 Jan,101.2
PCU33611-33611-,2010,M02,2010 Feb,101.0
PCU33611-33611-,2010,M03,2010 Mar,100.1
PCU33611-33611-,2010,M04,2010 Apr,99.7
PCU33611-33611-,2010,M05,2010 May,99.7
PCU33611-33611-,2010,M06,2010 Jun,98.4
PCU33611-33611-,2010,M07,2010 Jul,97.9
PCU33611-33611-,2010,M08,2010 Aug,98.1
PCU33611-33611-,2010,M09,2010 Sep,97.8
PCU33611-33611-,2010,M10,2010 Oct,100.0
PCU33611-33611-,2010,M11,2010 Nov,99.6
PCU33611-33611-,2010,M12,2010 Dec,99.1
PCU33611-33611-,2011,M01,2011 Jan,99.5
PCU33611-33611-,2011,M02,2011 Feb,99.6
PCU33611-33611-,2011,M03,2011 Mar,99.3
PCU33611-33611-,2011,M04,2011 Apr,99.9
PCU33611-33611-,2011,M05,2011 May,99.3
PCU33611-33611-,2011,M06,2011 Jun,99.5
PCU33611-33611-,2011,M07,2011 Jul,99.3
PCU33611-33611-,2011,M08,2011 Aug,99.2
PCU33611-33611-,2011,M09,2011 Sep,98.6
PCU33611-33611-,2011,M10,2011 Oct,102.2
PCU33611-33611-,2011,M11,2011 Nov,102.2
PCU33611-33611-,2011,M12,2011 Dec,102.0
PCU33611-33611-,2012,M01,2012 Jan,102.5
PCU33611-33611-,2012,M02,2012 Feb,102.1
PCU33611-33611-,2012,M03,2012 Mar,101.9
PCU33611-33611-,2012,M04,2012 Apr,102.2
PCU33611-33611-,2012,M05,2012 May,101.5
PCU33611-33611-,2012,M06,2012 Jun,101.8
PCU33611-33611-,2012,M07,2012 Jul,102.4
PCU33611-33611-,2012,M08,2012 Aug,102.3
PCU33611-33611-,2012,M09,2012 Sep,101.5
PCU33611-33611-,2012,M10,2012 Oct,104.5
PCU33611-33611-,2012,M11,2012 Nov,104.7
PCU33611-33611-,2012,M12,2012 Dec,104.3
PCU33611-33611-,2013,M01,2013 Jan,104.2
PCU33611-33611-,2013,M02,2013 Feb,104.2
PCU33611-33611-,2013,M03,2013 Mar,103.6
PCU33611-33611-,2013,M04,2013 Apr,103.5
PCU33611-33611-,2013,M05,2013 May,103.0
PCU33611-33611-,2013,M06,2013 Jun,102.7
PCU33611-33611-,2013,M07,2013 Jul,102.2
PCU33611-33611-,2013,M08,2013 Aug,102.0
